RN,TS,F2UR,F3UF,F4NBDM,F5NBDR,F6NBDF
472,8/3/2016 21:45,0.0,0.0,0.0,0.0,0.0
473,8/3/2016 22:00,0.0,0.0,0.0,0.0,0.0
474,8/3/2016 22:15,0.0,0.0,0.0,0.0,0.0
475,8/3/2016 22:30,0.0,0.0,0.0,0.0,0.0
476,8/3/2016 22:45,0.0,0.0,0.0,0.0,0.0
477,8/3/2016 23:00,0.0,0.0,0.0,0.0,0.0
478,8/3/2016 23:15,0.0,0.0,0.0,0.0,0.0
479,8/3/2016 23:30,0.0,0.0,0.0,0.0,0.0
480,8/3/2016 23:45,0.0,0.0,0.0,0.0,0.0
481,8/4/2016 0:00,0.0,0.0,0.0,0.0,0.0
482,8/4/2016 0:15,0.0,0.0,0.0,0.0,0.0
483,8/4/2016 0:30,0.0,0.0,0.0,0.0,0.0
484,8/4/2016 0:45,0.0,0.0,0.0,0.0,0.0
485,8/4/2016 1:00,0.0,0.0,0.0,0.0,0.0
486,8/4/2016 1:15,0.0,0.0,0.0,0.0,0.0
487,8/4/2016 1:30,0.0,0.0,0.0,0.0,0.0
488,8/4/2016 1:45,0.0,0.0,0.0,0.0,0.0
489,8/4/2016 2:00,0.0,0.0,0.0,0.0,0.0
490,8/4/2016 2:15,0.0,0.0,0.0,0.0,0.0
491,8/4/2016 2:30,0.0,0.0,0.0,0.0,0.0
492,8/4/2016 2:45,0.0,0.0,0.0,0.0,0.0
493,8/4/2016 3:00,0.0,0.0,0.0,0.0,0.0
494,8/4/2016 3:15,0.0,0.0,0.0,0.0,0.0
495,8/4/2016 3:30,0.0,0.0,0.0,0.0,0.0
496,8/4/2016 3:45,0.0,0.0,0.0,0.0,0.0
497,8/4/2016 4:00,0.0,0.0,0.0,0.0,0.0
498,8/4/2016 4:15,0.0,0.0,0.0,0.0,0.0
499,8/4/2016 4:30,0.0,0.0,0.0,0.0,0.0
500,8/4/2016 4:45,0.0,0.0,0.0,0.0,0.0
501,8/4/2016 5:00,0.0,0.0,0.0,0.0,0.0
502,8/4/2016 5:15,0.0,0.0,0.0,0.0,0.0
503,8/4/2016 5:30,0.0,0.0,0.0,0.0,0.0
504,8/4/2016 5:45,0.0,0.0,0.0,0.0,0.0
505,8/4/2016 6:00,0.0,0.0,0.0,0.0,0.0
506,8/4/2016 6:15,0.0,0.0,0.0,0.0,0.0
507,8/4/2016 6:30,0.0,0.0,0.0,0.0,0.0
508,8/4/2016 6:45,0.0,0.0,0.0,0.0,0.0
509,8/4/2016 7:00,0.0,0.0,0.0,0.0,0.0
510,8/4/2016 7:15,0.0,0.0,0.0,0.0,0.0
511,8/4/2016 7:30,0.0,0.0,0.0,0.0,0.0
512,8/4/2016 7:45,0.0,0.0,0.0,0.0,0.0
513,8/4/2016 8:00,0.0,0.0,0.0,0.0,0.0
514,8/4/2016 8:15,0.0,0.0,0.0,0.0,0.0
515,8/4/2016 8:30,0.0,0.0,0.0,0.0,0.0
516,8/4/2016 8:45,0.0,0.0,0.0,0.0,0.0
517,8/4/2016 9:00,0.0,0.0,0.0,0.0,0.0
518,8/4/2016 9:15,0.0,0.0,0.0,0.0,0.0
519,8/4/2016 9:30,0.0,0.0,0.0,0.0,0.0
520,8/4/2016 9:45,0.0,0.0,0.0,0.0,0.0
521,8/4/2016 10:00,0.0,0.0,0.0,0.0,0.0
522,8/4/2016 10:15,0.0,0.0,0.0,0.0,0.0
523,8/4/2016 10:30,0.0,0.0,0.0,0.0,0.0
524,8/4/2016 10:45,0.0,0.0,0.0,0.0,0.0
525,8/4/2016 11:00,0.0,0.0,0.0,0.0,0.0
526,8/4/2016 11:15,0.0,0.0,0.0,0.0,0.0
527,8/4/2016 11:30,0.0,0.0,0.0,0.0,0.0
528,8/4/2016 11:45,0.0,0.0,0.0,0.0,0.0
529,8/4/2016 12:00,0.0,0.0,0.0,0.0,0.0
530,8/4/2016 12:15,0.0,0.0,0.0,0.0,0.0
531,8/4/2016 12:30,0.0,0.0,0.0,0.0,0.0
532,8/4/2016 12:45,0.0,0.0,0.0,0.0,0.0
533,8/4/2016 13:00,0.0,0.0,0.0,0.0,0.0
534,8/4/2016 13:15,0.0,0.0,0.0,0.0,0.0
535,8/4/2016 13:30,0.0,0.0,0.0,0.0,0.0
536,8/4/2016 13:45,0.0,0.0,0.0,0.0,0.0
537,8/4/2016 14:00,0.0,0.0,0.0,0.0,0.0
538,8/4/2016 14:15,0.0,0.0,0.0,0.0,0.0
539,8/4/2016 14:30,0.0,0.0,0.0,0.0,0.0
540,8/4/2016 14:45,0.0,0.0,0.0,0.0,0.0
541,8/4/2016 15:00,0.0,0.0,0.0,0.0,0.0
542,8/4/2016 15:15,0.0,0.0,0.0,0.0,0.0
543,8/4/2016 15:30,0.0,0.0,0.0,0.0,0.0
544,8/4/2016 15:45,0.0,0.0,0.0,0.0,0.0
545,8/4/2016 16:00,0.0,0.0,0.0,0.0,0.0
546,8/4/2016 16:15,0.0,0.0,0.0,0.0,0.0
547,8/4/2016 16:30,0.0,0.0,0.0,0.0,0.0
548,8/4/2016 16:45,0.0,0.0,0.0,0.0,0.0
549,8/4/2016 17:00,0.0,0.0,0.0,0.0,0.0
550,8/4/2016 17:15,0.0,0.0,0.0,0.0,0.0
551,8/4/2016 17:30,0.0,0.0,0.0,0.0,0.0
552,8/4/2016 17:45,0.0,0.0,0.0,0.0,0.0
553,8/4/2016 18:00,0.0,0.0,0.0,0.0,0.0
554,8/4/2016 18:15,0.0,0.0,0.0,0.0,0.0
555,8/4/2016 18:30,0.0,0.0,0.0,0.0,0.0
556,8/4/2016 18:45,0.0,0.0,0.0,0.0,0.0
557,8/4/2016 19:00,0.0,0.0,0.0,0.0,0.0
558,8/4/2016 19:15,0.0,0.0,0.0,0.0,0.0
559,8/4/2016 19:30,0.0,0.0,0.0,0.0,0.0
560,8/4/2016 19:45,0.0,0.0,0.0,0.0,0.0
561,8/4/2016 20:00,0.0,0.0,0.0,0.0,0.0
562,8/4/2016 20:15,0.0,0.0,0.0,0.0,0.0
563,8/4/2016 20:30,0.0,0.0,0.0,0.0,0.0
564,8/4/2016 20:45,0.0,0.0,0.0,0.0,0.0
565,8/4/2016 21:00,0.0,0.0,0.0,0.0,0.0
566,8/4/2016 21:15,0.0,0.0,0.0,0.0,0.0
567,8/4/2016 21:30,0.0,25.4,0.0,0.0,0.0
568,8/4/2016 21:45,0.0,33.9,0.0,0.0,0.0
